APPL_NO,APP_ID,FORM,ST_NUM,ST_NAME,ST_TYPE,PRJ_NAME,STDADD,BLOCK,LOT,UNITS,NETUNITS, AFFHSG ,TARGET,TYPE,DESCRIPT,EXISTUSE,PROPUSE,ACTION,ACTDATE,STAFF,BLKLOT,GEN_ZONE,ZONING,PD,PLANAREA,ANA_NBHD,LAT_LNG
201105236553,748144,8,1000,MASON,ST,,1000 MASON ST,0223,008,51,3, -   ,,,Install auto fire sprinkler to protect addiitional units at lower and basement. REFERENCE TO APP#201008319983 TO ADD 3 RESIDENTIAL UNITS W/IN RESIDENCE.,APARTMENTS,APARTMENTS,COMPLETE,27-Mar-14,,0223008,"Residential, House and Mixed",RM-4,3,,Nob Hill,"[37.7930742, -122.4107104]"
201406188814,847144,8,1000,POWELL,ST,,1000 POWELL ST,0211,015,48,1, -   ,,,CORRECT RECORD TO INCORPORATE SUPERINTENDANTS UNIT ON 1ST FLOOR,APARTMENTS,APARTMENTS,COMPLETE,24-Jun-14,,0211015,Commercial,RC-4,3,,Chinatown,"[37.7941048, -122.4093554]"
201208288439,786469,3,101,DUBOCE,AV,,101 DUBOCE AV,3533,001,7,2, 2 ,SEC,Homeowner,4TH FLOOR VERTICAL ADDITION OF 2 DWELLING UNITS.,APARTMENTS,APARTMENTS,COMPLETE,07-Aug-14,RSUCRE,3533001,Neighborhood Commercial Transit,NCT-3,8,Market and Octavia,Mission,"[37.7697292, -122.4227008]"
201408143788,853085,8,1017,CAPITOL,AV,,1017 CAPITOL AV,6985,010,1,-1, -   ,,,"LEGALIZE ONE BEDROOM, ONE HOME OFFICE, FAMILY ROOM, REMOVE ILLEGAL KITCHEN, CONVERT FULL BATHROOM TO HALF BATHROOM. ALL WORK AT GROUND FLOOR.",1 FAMILY DWELLING,1 FAMILY DWELLING,CFC ISSUED,12-Sep-14,MCORRETT,6985010,"Residential, House and Mixed",RH-1,13,,Oceanview/Merced/Ingleside,"[37.720415, -122.459515]"
201404102974,840139,8,1028,WISCONSIN,ST,,1028 WISCONSIN ST,4219,003,2,2, -   ,,,TO OBTAIN FINAL INSPECTION FOR WORK APPROVED UNDER PA 201204037474; ALL WORK IS COMPLETE,,2 FAMILY DWELLING,CFC ISSUED,06-Nov-14,,4219003,"Residential, House and Mixed",RH-2,9,Eastern Neighborhoods w/Valencia,Potrero Hill,"[37.754259, -122.398962]"
201312305282,830937,8,1066,JAMESTOWN,AV,,1066 JAMESTOWN AV,4969,021,1,-1, -   ,,,COMPLY WITH NOV #201342751 DATED 12/19/13  TO DEMOLISH KITCHEN STOVE AND SINK AT GROUND FLOOR  AND BASEMENT LEVEL. LEGALIZE A BATH AT BASEMENT LEVEL.,1 FAMILY DWELLING,1 FAMILY DWELLING,CFC ISSUED,30-Jan-14,,4969021,"Residential, House and Mixed",RH-1,10,Bayview Hunters Point,Bayview Hunters Point,"[37.719381, -122.394629]"
201204168384,774457,1,1078,HAMPSHIRE,ST,,1078 HAMPSHIRE ST,4152,046,2,2, -   ,,,RECOMMERCEMENT AND CONCEPTION OF WORK APPROVED UNDER PA#200709193092,,2 FAMILY DWELLING,COMPLETE,27-Jan-14,,4152046,"Residential, House and Mixed",RH-2,8,Mission (EN),Mission,"[37.754872, -122.40776]"
200608290880,590959,1,1080,SUTTER,ST,Blanc,1080 SUTTER ST,0279,011,35,35, 4 ,MOD,Homeowner,"ERECT 11 STORIES, 35 DWELLING UNITS MIXED USE BUILDING.",,APARTMENTS,COMPLETE,02-Apr-14,AHOLLIST,0279011,Commercial,RC-4,4,,Nob Hill,"[37.78817919999999, -122.4179624]"
201307222394,815371,6,110,MIDDLE POINT,RD,,110 MIDDLE POINT RD,4624,031,-4,-4, -   ,,,"BLDG 22 - DEMOLISH 2-STORY, TYPE 5, RESIDENTIAL APARTMENT BUILDING.",APARTMENTS,,COMPLETE,30-Apr-14,MSNYDER,4624031,"Residential, House and Mixed",RM-1,10,Hunters View,Bayview Hunters Point,"[37.73633239999999, -122.3794569]"
201307222374,815349,6,112,WEST POINT,RD,,112 WEST POINT RD,4624,031,-4,-4, -   ,,,"BLDG 12 - DEMOLISH 2-STORY, TYPE 5, RESIDENTIAL APARTMENT BUILDING.",APARTMENTS,,COMPLETE,30-Apr-14,MSNYDER,4624031,"Residential, House and Mixed",RM-1,10,Hunters View,Bayview Hunters Point,"[37.7360598, -122.3808104]"
201207195186,782595,3,1146,CASTRO,ST,,1146 CASTRO ST,2804,006,1,-1, -   ,,,"RESIDENTIAL UNIT REMOVAL THROUGH MERGER. HORIZONTAL ADDITION (HEIGHT LESS THEN 10'-0"" ABOVE GROUND). INTERIOR RENOVATIONS & REMODEL.",2 FAMILY DWELLING,1 FAMILY DWELLING,COMPLETE,25-Jun-14,TWANG,2804006,"Residential, House and Mixed",RH-2,7,,Noe Valley,"[37.7522515, -122.4343565]"
201108041792,754470,1,1155,04TH,ST,,1155 04TH ST,8711,025,147,147, -   ,,,ERECT NEW 6 STORIES OF 147 UNITS CONDO BUILDING.,,APARTMENTS,COMPLETE,01-Oct-14,PRIESTMA,8711025,Redevelopment Agency,MB-RA,9,Mission Bay,Mission Bay,"[37.7732713, -122.3909647]"
201305287964,810015,8,1170,SACRAMENTO,ST,,1170 SACRAMENTO ST,0222A,071,72,-1, -   ,,,"19TH FLOOR PENTHOUSE B & C - ADD 6 SMOKE DETECTORS W/SOUNDER DASES, 1 RELAY, 12 SPEAKERS & 10 WEATHERPROOF SPEAKERS AS PART OF RENOVATION OF TWO UNITS, REF PA #2012.02.28.4991",APARTMENTS,APARTMENTS,COMPLETE,02-Jan-14,,0222A071,"Residential, House and Mixed",RM-4,3,,Nob Hill,"[37.7929129, -122.4122041]"
201012036075,735574,1,1190,04TH,ST,,1190 04TH ST,8711,014,150,150, 150 ,LI,Family,ERECT 6 STORIES OF 150 DWELLING UNIT.,,APARTMENTS,TCO ISSUED,23-Dec-14,PARCE,8711014,Redevelopment Agency,MB-RA,9,Mission Bay,Mission Bay,"[37.772929, -122.3914639]"
201307222393,815370,6,120,MIDDLE POINT,RD,,120 MIDDLE POINT RD,4624,031,-6,-6, -   ,,,"BLDG 21 - DEMOLISH 2-STORY, TYPE 5, RESIDENTIAL APARTMENT BUILDING.",APARTMENTS,,COMPLETE,30-Apr-14,MSNYDER,4624031,"Residential, House and Mixed",RM-1,10,Hunters View,Bayview Hunters Point,"[37.7363838, -122.3794557]"
201307222384,815361,6,120,WEST POINT,RD,,120 WEST POINT RD,4624,031,-4,-4, -   ,,,"BLDG 13 - DEMOLISH 2-STORY, TYPE 5, RESIDENTIAL APARTMENT BUILDING.",APARTMENTS,,COMPLETE,30-Apr-14,MSNYDER,4624031,"Residential, House and Mixed",RM-1,10,Hunters View,Bayview Hunters Point,"[37.7359234, -122.3807697]"
201012156753,736398,1,121,GOLDEN GATE,AV,,121 GOLDEN GATE AV,0349,001,90,90, 90 ,VLI,Senior,"ERECT 10 STORIES, 90 DWELLING UNITS, 1 BASEMENT, DINING, SOCIAL SERVICES, AFFORDABLE APARTMENTS BUILDING.",,APARTMENTS,COMPLETE,05-Nov-14,RCRAWFOR,0349001,Commercial,RC-4,4,,Tenderloin,"[37.7818641, -122.4125452]"
201401246982,832994,8,1234,VALENCIA,ST,,1234 VALENCIA ST,3644,004,7,-1, -   ,,,COMBINE UNITS 1 AND 2- 3RD FLOOR. UNIT 2 IS ILLEGAL. BRING BLDG INTO CONFORMANCE WITH CODE PER PLANS. N/A  FOR MAHER ORDINANCE NO. 155-13.  to conform with 3-R report dated 3/18/13,APARTMENTS,APARTMENTS,CFC ISSUED,15-Aug-14,KBOTN,3644004,Neighborhood Commercial Transit,Valencia St NCT,8,Mission (EN),Mission,"[37.753113, -122.4210415]"
201406138294,846523,8,1235,BUSH,ST,,1235 BUSH ST,0279,021,24,-1, -   ,,,REMOVE EXTG ILLEGAL UNITS. LEGALIZE EXTG FULL BATH ROOM AND STORAGES BEHIND THE GARAGE ON THE GROUND FLOOR TO COMPLY WITH COMPLAINT #201473744. N/A FOR THE MAHER ORDINANCE #155-13,APARTMENTS,APARTMENTS,CFC ISSUED,29-Aug-14,,0279021,Commercial,RC-4,4,,Nob Hill,"[37.78875, -122.4176]"
201305076239,807978,8,125,TRENTON,ST,,125 TRENTON ST,0179,030,5,1, 1 ,SEC,Homeowner,ADD NEW UNIT TO EXTG FOUR UNIT BLDG. IMPROVE EXTG LOWER LEVEL FOR NEW UNIT. NEW BATHROOM AND KITCHEN NEW PARTITION WALLS AT BATH ROOM.,APARTMENTS,APARTMENTS,COMPLETE,03-Sep-14,,0179030,Chinatown Mixed Use,CRNC,3,Chinatown,Chinatown,"[37.7961585, -122.4093167]"
201204248941,775104,3,126,MULLEN,AV,,126 MULLEN AV,5538,031,1,-1, -   ,,,CONVERT EXISTING TWO APARTMENTS BACK TO SINGLE FAMILY DWELLING. CUT OPENING IN WALL BETWEEN UNITS. REMOVE KITCHEN AT 124 MULLEN. ADD (N) DECK AND DOOR TO WEST SIDE. ENCLOSE EXISTING ENTRANCES AT EAST SIDE.,2 FAMILY DWELLING,1 FAMILY DWELLING,CFC ISSUED,24-Feb-14,BFU,5538031,"Residential, House and Mixed",RH-1,11,,Bernal Heights,"[37.7463514, -122.4088111]"
201204249016,775205,3,1265,BAY,ST,,1265 BAY ST,0473,015A,3,1, 1 ,SEC,Homeowner,"ADD (N) 3RD UNIT AT (E) UNOCCUPIED 1ST FL AREA & ADDING A REAR HORIZONAL ADDITION AT THIS LEVEL. THE NEW UNIT WILL HAVE 2 BEDROOMS,2BATHS,KITCHEN, LIVING & DINING AREA. ADD 3RD PARKING SPACE TO (E) GARAGE AREA.",2 FAMILY DWELLING,APARTMENTS,COMPLETE,28-Jan-14,CLAMOREN,0473015A,"Residential, House and Mixed",RM-1,2,,Marina,"[37.803511, -122.42784]"
200912183521,707289,2,1266,09TH,AV,,1266 09TH AV,1742,043,15,15, -   ,fee,,"TO ERECT 4 STORIES, 15 UNITS RESIDENTIAL & RETAIL BUILDING.
",,APARTMENTS,COMPLETE,28-Mar-14,JIONIN,1742043,Neighborhood Commercial,INNER SUNSET NCD,14,,Inner Sunset,"[37.7646394, -122.4661411]"
200212244171,467737,2,1275,INDIANA,ST,Millwheel North,1275 INDIANA ST,4228,010,39,39, 5 ,MOD,Homeowner,"ERECT 5-STORY, 39 UNITS OF RESIDENTIAL, RETAIL & WAREHOUSE BUILDING.",,APARTMENTS,COMPLETE,28-Aug-14,MSNYDER,4228010,"Production, Distribution, Repair",PDR-1-G,9,Eastern Neighborhoods w/Valencia,Potrero Hill,"[37.75419249999999, -122.3905999]"
201301147921,797993,8,130,BLANKEN,AV,,130 BLANKEN AV,5084,021,1,-1, -   ,,,"IN RESPONSE TO NOV 201265141 TO REMOVE ILLEGAL KITCHEN ON GROUND FLOOR. GR FL LEGALLY BUILT  IN 1992 PA 9202484 TO HAVE 2 BEDROOMS, FAMILY ROOM, STOARAGE ROOM, AND 1 FULL BATH, AND GAME ROOM",1 FAMILY DWELLING,1 FAMILY DWELLING,CFC ISSUED,21-Mar-14,KBRUSATO,5084021,"Residential, House and Mixed",RH-1,10,Visitacion Valley,Bayview Hunters Point,"[37.711696, -122.400396]"
201306119219,811528,8,130,PALM,AV,,130 PALM AV,1062,043,5,1, 1 ,SEC,Homeowner,ADD 22 FIRE SPRINKLERS AT NEW APT.  REF PA# 200905299409.,APARTMENTS,APARTMENTS,COMPLETE,15-Jul-14,,1062043,"Residential, House and Mixed",RM-1,1,Geary Corridor,Presidio Heights,"[37.783022, -122.45751]"
201307222385,815362,6,130,WEST POINT,RD,,130 WEST POINT RD,4624,031,-6,-6, -   ,,,"BLDG 14 - DEMOLISH 3-STORY, TYPE 5, RESIDENTIAL APARTMENT BUILDING.",APARTMENTS,,COMPLETE,30-Apr-14,MSNYDER,4624031,"Residential, House and Mixed",RM-1,10,Hunters View,Bayview Hunters Point,"[37.73571949999999, -122.3806939]"
201210292956,792069,3,1320,21ST,AV,,1320 21ST AV,1775,044,2,1, 1 ,SEC,Homeowner,REAR HORIZONTAL ADDITION & CONVERT (E) SINGLE FAMILY BLDG. TO TWO UNIT APARTMENT BUILDING.,1 FAMILY DWELLING,2 FAMILY DWELLING,CFC ISSUED,13-Nov-14,JLOOK,1775044,"Residential, House and Mixed",RH-2,15,,Sunset/Parkside,"[37.762998, -122.478905]"
201203266873,772675,3,1324,FRANCISCO,ST,,1324 FRANCISCO ST,0473,008,3,1, 1 ,SEC,Homeowner,"REAR GROUND FLOOR ADDITION. TO ACCOMODATE NEW GROUND FLOOR UNIT.RENOVATION OF 2ND & 3RD FLOOR UNITS. NEW STAIRS TO ROOF FROM 3RD FLOOR UNIT ONLY. NEW ROOF DECK.
SPRINKLERS, FIRE ALARM SEP PERMITS",2 FAMILY DWELLING,APARTMENTS,COMPLETE,04-Sep-14,GCABRERO,0473008,"Residential, House and Mixed",RH-3,2,,Marina,"[37.80322, -122.427125]"
201405054847,842377,8,1326,FRANCISCO,ST,,1326 FRANCISCO ST,0473,036,3,1, 1 ,SEC,Homeowner,"AMEND TO CURRENT BLDG PERMIT, CHANGE WOOD BURNING FIREPLACE TO GAS, NEW FLUE FOR FIREPLACE, PLUMBING WORK DONE BY OTHERS WITH PREVIOUS PERMIT PA# 201203266873",2 FAMILY DWELLING,APARTMENTS,COMPLETE,04-Sep-14,,0473036,"Residential, House and Mixed",RH-3,2,,Marina,"[37.8031307, -122.4271218]"
200603015694,573046,2,133,ELSIE,ST,,133 ELSIE ST,5619,057,1,1, -   ,,,"ERECT 3 STORY, NO BASEMENT, SINGLE FAMILY DWELLING.",,1 FAMILY DWELLING,CFC ISSUED,23-Oct-14,BFU,5619057,"Residential, House and Mixed",RH-1,11,,Bernal Heights,"[37.7424475, -122.4177191]"
201408194215,853619,8,1338,UNION,ST,,1338 UNION ST,0525,010,3,-1, -   ,,,TO OBTAIN FINAL INSPECTION FOR WORK APPROVED UNDER PA # 9817984.  ALL WORK IS COMPLETE. n/a MAHER ORDINANCE # 155-13,APARTMENTS,APARTMENTS,COMPLETE,08-Oct-14,,0525010,"Residential, House and Mixed",RH-2,3,,Russian Hill,"[37.799197, -122.421426]"
201407080703,849354,8,1345,SILVER,AV,,1345 SILVER AV,5883,012,2,1, 1 ,SEC,Homeowner,"REARRANGE & REMODEL KITCHEN, STAIRS & BATHROOM. ADD BEDROOM, 1 BATH & SKYLIGHTS ON 2ND FLOOR. RELCOATE BATHROOM, ADD 2 FULL BATHS, LAUNDRY & 3 BEDROOMS ON GROUND FLOOR. REPLACE GARAGE DOOR & WINDOWS PER PLAN. REMOVE ILLEGAL KITCHEN ON GROUND FLOOR.",1 FAMILY DWELLING,2 FAMILY DWELLING,COMPLETE,03-Dec-14,,5883012,"Residential, House and Mixed",RH-2,12,,Portola,"[37.731317, -122.409925]"
201203276943,772757,2,135,YUKON,ST,,135 YUKON ST,2716,033,1,1, -   ,,,ERECT 3-STORY NEW BUILDING TYPE V SINGLE FAMILY RESIDENCE.,,1 FAMILY DWELLING,COMPLETE,23-Jul-14,DVU,2716033,"Residential, House and Mixed",RH-1(S),7,,Twin Peaks,"[37.7574619, -122.4422559]"
201205090138,776526,3,1370,UTAH,ST,,1370 UTAH ST,4264,007,3,1, 1 ,SEC,Homeowner,"CHANGE OF USE. ADD 1 DWELLING UNIT. NEW REAR BUILDING WALL. VERTICAL & HORIZONTAL ADDITION. NO CHANGE TO FRONT (EAST) FACADE. STRUCTURAL, MECH, ELECT, PLUMBING.",2 FAMILY DWELLING,APARTMENTS,COMPLETE,18-Dec-14,TLENANE,4264007,"Residential, House and Mixed",RH-3,8,Eastern Neighborhoods w/Valencia,Mission,"[37.7521638, -122.4054242]"
201212136160,795900,3,1379,REVERE,AV,,1379 REVERE AV,4788,017,2,1, 1 ,SEC,Homeowner,PROPOSED HORIZONTAL ADDITION TO (E) SINGLE FAMILY HOUSE TO ACCOMODATE ONE ADDITIONAL UNIT. PROPOSED KITCHEN REMODEL @ 2ND FLOOR. PROPOSED 1 NEW BATHROOM @ 3RD FLOOR.,1 FAMILY DWELLING,2 FAMILY DWELLING,PRE-FINAL,28-Jan-14,JSPEIRS,4788017,"Residential, House and Mixed",RH-2,10,Bayview Hunters Point,Bayview Hunters Point,"[37.729111, -122.386192]"
201407242084,851044,8,1390,MARKET,ST,,1390 MARKET ST,0813,008,444,1, -   ,,,#1418: CONVERT EXTG STUDIO UNIT TO 2 STUDIO UNITS. N/A FOR THE MAHER ORDINANCE #155-13,APARTMENTS,APARTMENTS,PRE-FINAL,31-Oct-14,EOROPEZA,0813008,Commercial,C-3-G,4,Market and Octavia,Tenderloin,"[37.777311, -122.4172441]"
201307222395,815372,6,140,MIDDLE POINT,RD,,140 MIDDLE POINT RD,4624,031,-4,-4, -   ,,,"BLDG 23 - DEMOLISH 2-STORY, TYPE 5, RESIDENTIAL APARTMENT BUILDING.",APARTMENTS,,COMPLETE,30-Apr-14,MSNYDER,4624031,"Residential, House and Mixed",RM-1,10,Hunters View,Bayview Hunters Point,"[37.7364864, -122.3794533]"
200612210404,602526,6,1401,DIVISADERO,ST,,1401 DIVISADERO ST,1098,009,-21,-21, -   ,,,TO DEMOLISH 21 DWELLING UNIT WITH COMMERCIAL SPACE,APARTMENTS,,COMPLETE,27-Jan-14,DLINDSAY,1098009,Neighborhood Commercial,NC-2,5,A-2,Western Addition,"[37.782632, -122.439625]"
201405226479,844348,8,1401,LYON,ST,,1401 LYON ST,1073,007A,3,1, 1 ,SEC,Homeowner,ADMINISTRATIVE PERMIT TO CORRECT PA#916088 AND PA201405085208: ORIGINAL BUILDING USE - TWO DWELLING UNITS AND STORE TO PROPOSED USE - TWO DWELLING UNITS AND ONE LIVE-WORK UNIT.,APARTMENTS,APARTMENTS,COMPLETE,23-May-14,,1073007A,"Residential, House and Mixed",RH-3,1,Geary Corridor,Presidio Heights,"[37.7837785, -122.444868]"
201301147871,797934,3,1409,HUDSON,AV,,1409 HUDSON AV,5258,001,1,1, -   ,,,COMMENCEMENT OF WORK NOT STARTED UNDER PREVIOUSLY APPROVED PERMIT  PA#200512150450,,1 FAMILY DWELLING,COMPLETE,19-May-14,JSPEIRS,5258001,"Residential, House and Mixed",RH-1,10,Bayview Hunters Point,Bayview Hunters Point,"[37.737797, -122.384844]"
201403110436,837114,8,1410,JEFFERSON,ST,,1410 JEFFERSON ST,0436C,002,2,1, 1 ,SEC,Homeowner,DESIGN AND INSTALL WATER BASED FIRE SPRINKLER SYSTEM.PER NFPA 13. NO UNDERGROUND; BY OTHERS.,1 FAMILY DWELLING,2 FAMILY DWELLING,COMPLETE,02-Dec-14,,0436C002,"Residential, House and Mixed",RH-2,2,,Marina,"[37.8058057, -122.4358963]"
200903234623,683861,1,1411,MARKET,ST,NEMA Phase II,1411 MARKET ST,3507,041,754,437, 52 ,LI,Family,ALTERED SITE PERMIT. REVISION TO PA #2006-0720-7084S. INCLUDES REVISED FLOOR PLANS FOR LEVELS 21 THRU 36 TO ILLUSTRATE ADDITIONAL 35 UNITS THAT WERE CREATED BY SUBDIVIDING EXISTING 2 BEDROOM DESIGNS INTO 1 BEDROOMS PLUS ADJACENT STUDIO APARTMENTS. NO ADDI,APARTMENTS,APARTMENTS,COMPLETE,12-Nov-14,AHOLLIST,3507041,Commercial,C-3-G,4,Mid-Market,South of Market,"[37.7759926, -122.417073]"
201307222386,815363,6,142,WEST POINT,RD,,142 WEST POINT RD,4624,031,-2,-2, -   ,,,"BLDG 15 - DEMOLISH 2-STORY, TYPE 5, RESIDENTIAL APARTMENT BUILDING.",2 FAMILY DWELLING,,COMPLETE,30-Apr-14,MSNYDER,4624031,"Residential, House and Mixed",RM-1,10,Hunters View,Bayview Hunters Point,"[37.7354478, -122.3805902]"
200912163365,707094,3,1430,LARKIN,ST,,1430 LARKIN ST,0249,017,21,1, 1 ,SEC,Individual/SRO,"COMPLY WITH NOV# 200902304, DATED 4-16-09-REMOVE (E) PLUMBING FIXTURES, NON BEARING WALL AT (E) BATHROOM #2 ON GROUND LEVEL UNIT. ADD NEW STALL SHOWER IN LIEU OF BATHROOM & CHANGE OCCUPANCY FROM COMMERCIAL OFFICE (B) TO RESIDENTIAL HOTEL (R1).  Check for ",RESIDENTIAL HOTEL,RESIDENTIAL HOTEL,COMPLETE,22-May-14,RCRAWFOR,0249017,Neighborhood Commercial,POLK,3,,Nob Hill,"[37.7912757, -122.4189262]"
201310078710,823130,3,1432,YORK,ST,,1432 YORK ST,4335,001E,2,1, 1 ,SEC,Homeowner,COMPLY WITH NOV #201318321. LEGALIZE LOWER UNIT (397 SQ FT).,1 FAMILY DWELLING,2 FAMILY DWELLING,COMPLETE,30-Sep-14,DHARRIS,4335001E,"Residential, House and Mixed",RH-2,8,Mission (EN),Mission,"[37.749176, -122.408116]"
201307222387,815364,6,146,WEST POINT,RD,,146 WEST POINT RD,4624,031,-4,-4, -   ,,,"BLDG 16 - DEMOLISH 2-STORY, TYPE 5, 4 UNITS RESIDENTIAL APARTMENT BUILDING.",APARTMENTS,,COMPLETE,30-Apr-14,MSNYDER,4624031,"Residential, House and Mixed",RM-1,10,Hunters View,Bayview Hunters Point,"[37.7353585, -122.3805373]"
201307222396,815373,6,148,MIDDLE POINT,RD,,148 MIDDLE POINT RD,4624,031,-2,-2, -   ,,,"BLDG 24  - DEMOLISH 2-STORY, TYPE 5, RESIDENTIAL APARTMENT BUILDING.",2 FAMILY DWELLING,,COMPLETE,30-Apr-14,MSNYDER,4624031,"Residential, House and Mixed",RM-1,10,Hunters View,Bayview Hunters Point,"[37.7365275, -122.3794523]"
201310280380,825141,8,149,NEWMAN,ST,,149 NEWMAN ST,5708,009,1,-1, -   ,,,COMPLY WITH NOV# 201318173 - REMOVE UNPERMITTED DWELLING at garage. DEMOLISH (E) rear DECK; . REPAIR  rear STAIRS IN KIND - LESS THAN 50%. REPLACE PLUMBING at 2?F bath.,1 FAMILY DWELLING,1 FAMILY DWELLING,CFC ISSUED,26-Feb-14,MCORRETT,5708009,"Residential, House and Mixed",RH-2,11,,Bernal Heights,"[37.737914, -122.417146]"
201111038205,762315,1,1515,15TH,ST,Fifteen Fifteen,1515 15TH ST,3553,054,40,40, 7 ,MOD,Homeowner,"TO ERECT 5 STORY OVER 1 BASEMENT, 40 UNITS RESIDENTIAL & COMMERCIAL BUILDING.",,APARTMENTS,COMPLETE,11-Jun-14,KDURANDE,3553054,Eastern Neighborhoods Mixed Use,UMU,11,Mission (EN),Mission,"[37.7665977, -122.4181501]"
200310066599,492762,2,152,ELSIE,ST,,152 ELSIE ST,5618,020,1,1, -   ,,,ERECT A TWO STORY SINGLE FAMILY DWELING,,1 FAMILY DWELLING,CFC ISSUED,22-Jul-14,EOROPEZA,5618020,"Residential, House and Mixed",RH-1,15,,Bernal Heights,"[37.7420345, -122.4184152]"
201201112070,766941,2,1530,48TH,AV,,1530 48TH AV,1893,038,1,1, -   ,,,"ERECT 2 STORIES, TYPE 5, 1 DWELLING UNIT FRONT BUILDING.",,1 FAMILY DWELLING,PRE-FINAL,19-Aug-14,APUTRA,1893038,"Residential, House and Mixed",RH-2,13,Western Shoreline,Sunset/Parkside,"[37.7578578, -122.5074585]"
200509072195,557229,2,154,BROAD,ST,,154 BROAD ST,7107,063,2,2, -   ,,,"TO ERECT A NEW 2 STORY, 2 DWELLING UNITS.",,2 FAMILY DWELLING,COMPLETE,07-Aug-14,,7107063,"Residential, House and Mixed",RH-2,10,,Oceanview/Merced/Ingleside,"[37.713463, -122.458028]"
201307222388,815365,6,154,WEST POINT,RD,,154 WEST POINT RD,4624,031,-4,-4, -   ,,,"BLDG 17 - DEMOLISH 2-STORY, TYPE 5, 4 UNITS RESIDENTIAL APARTMENT BUILDING.",APARTMENTS,,COMPLETE,30-Apr-14,MSNYDER,4624031,"Residential, House and Mixed",RM-1,8,Hunters View,Bayview Hunters Point,"[37.7352814, -122.3803088]"
201402279457,835972,1,160,14TH,ST,,160 14TH ST,3530,049,1,1, -   ,,,TO OBTAIN FINAL INSPECTION FOR WORK APPROVED UNDER APP#200710034503. ALL WORK IS COMPLETE.,FOOD/BEVERAGE HNDLNG,1 FAMILY DWELLING,PRE-FINAL,28-Feb-14,,3530049,"Production, Distribution, Repair",PDR-1-G,6,Mission (EN),Mission,"[37.7686704, -122.4169583]"
201109074027,757232,1,1600,MARKET,ST,,1600 MARKET ST,0854,001,24,24, 23 ,MOD,Homeowner,"TO ERET 5 STORIES, 24 UNITS RESIDENTIAL, RETAIL, STORAGE BUILDING.",,APARTMENTS,CFC ISSUED,14-Mar-14,KGUY,0854001,Neighborhood Commercial Transit,NCT-3,10,Market and Octavia,Hayes Valley,"[37.7740446, -122.4210278]"
201307222389,815366,6,162,WEST POINT,RD,,162 WEST POINT RD,4624,031,-6,-6, -   ,,,"BLDG 18 - DEMOLISH 3-STORY, TYPE 5, RESIDENTIAL APARTMENT BUILDING.",APARTMENTS,,COMPLETE,30-Apr-14,MSNYDER,4624031,"Residential, House and Mixed",RM-1,14,Hunters View,Bayview Hunters Point,"[37.7353129, -122.3800685]"
